ID,Name,Cuisine,Halal Status,Avg Price (AED),Booking Required,Neighborhood
DXB-01,Al Fanar,Authentic Emirati,100% Halal,120 AED,No,Festival City
DXB-02,Arabian Tea House,Middle Eastern,100% Halal,90 AED,No (Expect queues),Al Fahidi
DXB-03,Orfali Bros,Fusion / Bistro,100% Halal Meat,250 AED,Yes,Jumeirah
DXB-04,3Fils,Asian / Sushi,100% Halal Meat,180 AED,No (Walk-in only),Jumeirah Fishing Harbor
DXB-05,Tresind,Modern Indian,100% Halal Meat,350 AED,Yes,Trade Centre
DXB-06,Zuma,High-end Japanese,Halal Meat,600 AED,Yes (Weeks ahead),DIFC
DXB-07,Bait Maryam,Levantine / Arab,100% Halal,100 AED,Recommended,JLT
DXB-08,Ossiano,Seafood / Fine,Halal Options,1000+ AED,Yes,Atlantis The Palm
DXB-09,CZN Burak,Turkish,100% Halal,200 AED,Recommended,Downtown Dubai
DXB-10,COYA,Peruvian,Halal Meat,450 AED,Yes,Jumeirah
DXB-11,Al Khayma,Emirati / Camp,100% Halal,150 AED,Recommended,Al Fahidi
